epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,38885.4,1.71639,1.45196,2.29641,0.87052,0.83879,0.8795,0.68432,1.33545,1.00286,2.15996,0.002575,0.002575,0.002575
77,39399.1,1.71164,1.45529,2.2958,0.88045,0.83118,0.879,0.68414,1.33386,1.00469,2.15858,0.002476,0.002476,0.002476
78,39910.7,1.70259,1.44143,2.28873,0.88232,0.82983,0.87701,0.68365,1.33204,1.00731,2.15757,0.002377,0.002377,0.002377
79,40426,1.69866,1.4359,2.29088,0.88956,0.81966,0.87725,0.68354,1.33091,1.00785,2.15644,0.002278,0.002278,0.002278
80,40935.6,1.68288,1.43004,2.28045,0.88077,0.82906,0.87781,0.68415,1.32998,1.00908,2.15547,0.002179,0.002179,0.002179
81,41449,1.67416,1.41943,2.2778,0.89525,0.8176,0.87861,0.68586,1.32947,1.00871,2.15485,0.00208,0.00208,0.00208
82,41957.5,1.67119,1.40563,2.27015,0.89112,0.82824,0.87902,0.68574,1.32816,1.00995,2.15373,0.001981,0.001981,0.001981
83,42466.5,1.65962,1.39803,2.26586,0.87187,0.83476,0.87838,0.68518,1.32841,1.00845,2.1544,0.001882,0.001882,0.001882
84,42977,1.65154,1.39517,2.25891,0.87544,0.83549,0.87761,0.68433,1.32645,1.01361,2.15254,0.001783,0.001783,0.001783
85,43488.3,1.64433,1.39157,2.25416,0.88433,0.83093,0.8782,0.68533,1.32524,1.01477,2.15148,0.001684,0.001684,0.001684
86,43999.7,1.64091,1.38558,2.25244,0.87902,0.83569,0.87805,0.68548,1.32397,1.01391,2.15071,0.001585,0.001585,0.001585
87,44507.7,1.62924,1.37191,2.24117,0.8883,0.83381,0.87877,0.68678,1.32273,1.01434,2.14919,0.001486,0.001486,0.001486
88,45016.2,1.62293,1.36608,2.24373,0.8872,0.83407,0.87772,0.68737,1.32221,1.01644,2.14855,0.001387,0.001387,0.001387
89,45524.7,1.61217,1.3668,2.23699,0.88475,0.83404,0.87796,0.68788,1.32094,1.01644,2.14811,0.001288,0.001288,0.001288
90,46037.7,1.60742,1.35657,2.23163,0.88942,0.83611,0.87786,0.6877,1.31978,1.01652,2.14659,0.001189,0.001189,0.001189
91,46544.8,1.43144,1.11477,2.10781,0.88795,0.83126,0.87709,0.68714,1.31869,1.02022,2.1461,0.00109,0.00109,0.00109
92,47054.3,1.41391,1.09457,2.09254,0.89029,0.83088,0.87668,0.68759,1.31838,1.01935,2.14628,0.000991,0.000991,0.000991
93,47562,1.39362,1.07848,2.07471,0.8913,0.82918,0.87597,0.68773,1.31699,1.02203,2.14508,0.000892,0.000892,0.000892
94,48068.7,1.38443,1.06911,2.06407,0.88791,0.82775,0.87463,0.68767,1.31632,1.02568,2.14482,0.000793,0.000793,0.000793
95,48573.5,1.3673,1.0588,2.05333,0.88092,0.8306,0.87338,0.68636,1.31566,1.02741,2.14443,0.000694,0.000694,0.000694
96,49080.7,1.35749,1.05153,2.04836,0.87811,0.83193,0.87236,0.68578,1.31542,1.02929,2.14465,0.000595,0.000595,0.000595
97,49587.5,1.34093,1.04157,2.04095,0.88262,0.83288,0.87329,0.68737,1.31489,1.0301,2.14486,0.000496,0.000496,0.000496
98,50094.2,1.32609,1.02479,2.02848,0.88042,0.83587,0.87264,0.68674,1.314,1.03314,2.14436,0.000397,0.000397,0.000397
99,50601.5,1.31616,1.02235,2.01608,0.89571,0.82602,0.87283,0.68732,1.31342,1.03312,2.14441,0.000298,0.000298,0.000298
100,51108.8,1.30088,1.01278,2.01101,0.8897,0.8288,0.87323,0.68857,1.31309,1.03444,2.14399,0.000199,0.000199,0.000199
