epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,31648.4,0.81694,0.69788,1.12258,0.8805,0.85828,0.89356,0.70266,0.61631,0.50253,1.03471,0.002575,0.002575,0.002575
77,32070.9,0.81621,0.69881,1.12132,0.88038,0.85992,0.89396,0.7036,0.61576,0.50262,1.03416,0.002476,0.002476,0.002476
78,32478.9,0.81041,0.69174,1.11736,0.88266,0.85779,0.89468,0.705,0.61504,0.50241,1.0335,0.002377,0.002377,0.002377
79,32893.8,0.808,0.691,1.11782,0.89059,0.85158,0.89479,0.70587,0.61452,0.5025,1.03303,0.002278,0.002278,0.002278
80,33303.8,0.80121,0.68509,1.11352,0.89215,0.85088,0.89449,0.70509,0.61364,0.5025,1.03234,0.002179,0.002179,0.002179
81,33720.6,0.79763,0.68303,1.11006,0.89344,0.84942,0.89333,0.70507,0.61325,0.50237,1.03211,0.00208,0.00208,0.00208
82,34129.3,0.79609,0.67691,1.109,0.89332,0.85007,0.89426,0.70574,0.61266,0.50183,1.03168,0.001981,0.001981,0.001981
83,34539.1,0.79081,0.67335,1.10616,0.8861,0.85485,0.89447,0.70519,0.61222,0.50139,1.03125,0.001882,0.001882,0.001882
84,34949.6,0.78451,0.6712,1.10222,0.8883,0.85365,0.89457,0.70542,0.61177,0.50111,1.031,0.001783,0.001783,0.001783
85,35361.1,0.78461,0.66945,1.10095,0.89332,0.85207,0.89436,0.7041,0.61111,0.5014,1.03039,0.001684,0.001684,0.001684
86,35771.3,0.78112,0.66645,1.09929,0.89247,0.84992,0.89312,0.70387,0.61062,0.50125,1.0298,0.001585,0.001585,0.001585
87,36185.4,0.77587,0.6603,1.0953,0.89168,0.85252,0.89329,0.70317,0.61002,0.50118,1.02927,0.001486,0.001486,0.001486
88,36598.9,0.77211,0.65744,1.09517,0.89038,0.8533,0.89239,0.70355,0.60933,0.50149,1.02865,0.001387,0.001387,0.001387
89,37012.2,0.76978,0.65694,1.09334,0.89018,0.85293,0.8926,0.7035,0.60877,0.50093,1.02827,0.001288,0.001288,0.001288
90,37424.5,0.76542,0.65357,1.08976,0.89014,0.85279,0.89189,0.70304,0.6079,0.50079,1.0276,0.001189,0.001189,0.001189
91,37829.2,0.68064,0.56569,1.04409,0.88814,0.85386,0.89093,0.70356,0.60749,0.50085,1.02726,0.00109,0.00109,0.00109
92,38234.9,0.66611,0.55615,1.0334,0.88398,0.85603,0.89073,0.70357,0.60683,0.5014,1.02685,0.000991,0.000991,0.000991
93,38644.2,0.65852,0.54897,1.02821,0.88336,0.85572,0.89059,0.70321,0.6064,0.5019,1.02642,0.000892,0.000892,0.000892
94,39049.8,0.65345,0.54451,1.02197,0.88483,0.85359,0.89035,0.70329,0.60588,0.50238,1.02578,0.000793,0.000793,0.000793
95,39455.8,0.64359,0.5394,1.01722,0.89056,0.84784,0.88993,0.7031,0.60541,0.50339,1.02526,0.000694,0.000694,0.000694
96,39859.3,0.63915,0.53461,1.01447,0.89498,0.84253,0.88987,0.70383,0.60488,0.50363,1.02469,0.000595,0.000595,0.000595
97,40262.4,0.63,0.53027,1.00994,0.89356,0.84056,0.88962,0.70405,0.60465,0.50436,1.02459,0.000496,0.000496,0.000496
98,40669.6,0.62175,0.52414,1.00337,0.89139,0.84307,0.8897,0.7037,0.6041,0.50514,1.02424,0.000397,0.000397,0.000397
99,41073,0.6189,0.52081,1.00022,0.89087,0.8469,0.89011,0.70389,0.60385,0.50573,1.02402,0.000298,0.000298,0.000298
100,41475,0.61147,0.51632,0.99696,0.88697,0.84975,0.8896,0.70384,0.60355,0.50656,1.02369,0.000199,0.000199,0.000199
