epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,20440.1,0.82222,0.69499,1.10549,0.88491,0.8432,0.89226,0.69001,0.65511,0.50628,1.03684,0.002278,0.002278,0.002278
80,20699.1,0.81642,0.6914,1.1038,0.89002,0.84192,0.89371,0.69105,0.65459,0.50589,1.03609,0.002179,0.002179,0.002179
81,20958.1,0.81627,0.69037,1.10184,0.88872,0.84211,0.89393,0.69134,0.65377,0.50538,1.03523,0.00208,0.00208,0.00208
82,21217.9,0.81305,0.68637,1.09922,0.8887,0.84163,0.89372,0.69137,0.65291,0.50517,1.03427,0.001981,0.001981,0.001981
83,21476.1,0.81243,0.68522,1.1016,0.88826,0.84203,0.8931,0.6905,0.65238,0.50497,1.03361,0.001882,0.001882,0.001882
84,21733.5,0.80488,0.68308,1.09585,0.88791,0.84064,0.89297,0.69129,0.65166,0.50483,1.03278,0.001783,0.001783,0.001783
85,21993.4,0.80405,0.68404,1.09435,0.88561,0.84013,0.893,0.69146,0.6509,0.50455,1.03206,0.001684,0.001684,0.001684
86,22249.6,0.80054,0.67955,1.09285,0.89244,0.8368,0.89298,0.69067,0.65018,0.50431,1.03132,0.001585,0.001585,0.001585
87,22507.2,0.79587,0.67435,1.09161,0.88365,0.84383,0.89186,0.69046,0.64936,0.50403,1.03044,0.001486,0.001486,0.001486
88,22765.4,0.78875,0.67195,1.08675,0.88418,0.84234,0.89159,0.69045,0.64887,0.5041,1.02983,0.001387,0.001387,0.001387
89,23022.9,0.78691,0.66628,1.08584,0.87973,0.84529,0.89029,0.6902,0.64828,0.50397,1.02912,0.001288,0.001288,0.001288
90,23280.2,0.78584,0.66423,1.08325,0.87893,0.84713,0.891,0.68959,0.64764,0.50388,1.02843,0.001189,0.001189,0.001189
91,23537.8,0.71438,0.59234,1.05103,0.8809,0.84484,0.88876,0.6906,0.64711,0.50419,1.02804,0.00109,0.00109,0.00109
92,23793.3,0.7025,0.58221,1.04306,0.87939,0.84839,0.89041,0.69056,0.64634,0.50438,1.02736,0.000991,0.000991,0.000991
93,24051.2,0.69399,0.577,1.03589,0.8694,0.85363,0.8884,0.69075,0.64568,0.50459,1.02687,0.000892,0.000892,0.000892
94,24311.1,0.6875,0.57109,1.03177,0.87523,0.85443,0.88839,0.69175,0.64526,0.5051,1.02625,0.000793,0.000793,0.000793
95,24568.7,0.68049,0.56731,1.0304,0.87188,0.85641,0.88797,0.6917,0.64493,0.5058,1.02594,0.000694,0.000694,0.000694
96,24827.3,0.6733,0.56472,1.02216,0.87197,0.85719,0.88825,0.6929,0.64439,0.50559,1.02528,0.000595,0.000595,0.000595
97,25083.2,0.66911,0.55684,1.02062,0.87625,0.8527,0.88775,0.69306,0.64395,0.50583,1.02489,0.000496,0.000496,0.000496
98,25341.9,0.66251,0.55358,1.01702,0.87795,0.85159,0.88791,0.69308,0.6434,0.50614,1.02439,0.000397,0.000397,0.000397
99,25601.5,0.65765,0.54924,1.01364,0.88105,0.85076,0.88801,0.6945,0.64286,0.50666,1.02397,0.000298,0.000298,0.000298
100,25858.3,0.65264,0.54647,1.00859,0.88287,0.85006,0.88777,0.69456,0.64247,0.50669,1.02373,0.000199,0.000199,0.000199
